Taxon,Strain,Accession ID,Originating Laboratory,Submitting Laboratory,Authors
Korea/KCDC2024/2020|2020-02-19,Korea/KCDC2024/2020,EPI_ISL_471440,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention","Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention",Jeong-Min Kim et al
Korea/KCDC2029/2020|2020-02-20,Korea/KCDC2029/2020,EPI_ISL_471445,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention","Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention",Jeong-Min Kim et al
Korea/KCDC2040/2020|2020-02-19,Korea/KCDC2040/2020,EPI_ISL_471446,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention","Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention",Jeong-Min Kim et al
Korea/KCDC2041/2020|2020-02-19,Korea/KCDC2041/2020,EPI_ISL_471447,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention","Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention",Jeong-Min Kim et al
Korea/KCDC2042/2020|2020-02-19,Korea/KCDC2042/2020,EPI_ISL_471448,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention","Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention",Jeong-Min Kim et al
Korea/KCDC2043/2020|2020-02-19,Korea/KCDC2043/2020,EPI_ISL_471449,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention","Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention",Jeong-Min Kim et al
Korea/KCDC2044/2020|2020-02-19,Korea/KCDC2044/2020,EPI_ISL_471450,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention","Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention",Jeong-Min Kim et al
Korea/KCDC2045/2020|2020-02-20,Korea/KCDC2045/2020,EPI_ISL_471451,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention","Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention",Jeong-Min Kim et al
Korea/KCDC2046/2020|2020-02-21,Korea/KCDC2046/2020,EPI_ISL_471452,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention","Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention",Jeong-Min Kim et al
Korea/KCDC2047/2020|2020-02-20,Korea/KCDC2047/2020,EPI_ISL_471453,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention","Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention",Jeong-Min Kim et al
Korea/KCDC2049/2020|2020-02-21,Korea/KCDC2049/2020,EPI_ISL_471455,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention","Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention",Jeong-Min Kim et al
Kuwait/KU001/2020|2020-03-16,Kuwait/KU001/2020,EPI_ISL_421652,Dasman Diabetes Institute,Dasman Diabetes Institute,Fahd Al-Mulla et al
Kuwait/KU006/2020|2020-03-15,Kuwait/KU006/2020,EPI_ISL_422424,Jaber Al Ahmad Al Sabah Hospital,Dasman diabetes Institute,Fahd Al-Mulla et al
Kuwait/KU09/2020|2020-03-02,Kuwait/KU09/2020,EPI_ISL_416541,Dasman Diabetes Institute and Virology Laboratory Ministry of Health,Dasman Diabetes Institute,Fahd Al-Mulla et al
Kuwait/KU12/2020|2020-03-02,Kuwait/KU12/2020,EPI_ISL_416458,Virology laboratory Ministry of Health Kuwait sequenced at Dasman Diabetes Institute,Dasman Diabetes Institute,Fahd Al-Mulla et al
Kuwait/KU17/2020|2020-03-02,Kuwait/KU17/2020,EPI_ISL_416542,Dasman Diabetes Institute,Dasman Diabetes Institute,Fahd Al-Mulla et al
Latvia/014/2020|2020-03-22,Latvia/014/2020,EPI_ISL_437093,Latvijas Infektoloģijas centrs,Latvian Biomedical Research and Study Centre,Ivars Silamiķelis et al
Latvia/019/2020|2020-04-14,Latvia/019/2020,EPI_ISL_450519,E. Gulbja Laboratorija,Latvian Biomedical Research and Study Centre,Ivars Silamiķelis et al
Latvia/022/2020|2020-04-28,Latvia/022/2020,EPI_ISL_450522,Centrālā Laboratorija,Latvian Biomedical Research and Study Centre,Ivars Silamiķelis et al
Latvia/024/2020|2020-04-19,Latvia/024/2020,EPI_ISL_450524,Centrālā Laboratorija,Latvian Biomedical Research and Study Centre,Ivars Silamiķelis et al
Latvia/05/2020|2020-03-30,Latvia/05/2020,EPI_ISL_426285,E. Gulbja Laboratorija,Latvian Biomedical Research and Study Centre,Ivars Silamiķelis et al
Lebanon/S10_768/2020|2020-03-15,Lebanon/S10_768/2020,EPI_ISL_450516,Rafik Hariri University Hospital,Rafik Hariri University Hospital,Rita Feghali et al
Lebanon/S2_759/2020|2020-03-15,Lebanon/S2_759/2020,EPI_ISL_450509,Rafik Hariri University Hospital,Rafik Hariri University Hospital,Rita Feghali et al
Lebanon/S4_761/2020|2020-03-04,Lebanon/S4_761/2020,EPI_ISL_450511,Rafik Hariri University Hospital,Rafik Hariri University Hospital,Rita Feghali et al
Lebanon/S5_762/2020|2020-02-27,Lebanon/S5_762/2020,EPI_ISL_450512,Rafik Hariri University Hospital,Rafik Hariri University Hospital,Rita Feghali et al
Lebanon/S7_763/2020|2020-02-21,Lebanon/S7_763/2020,EPI_ISL_454420,Rafik Hariri University Hospital,Rafik Hariri University Hospital,Rita Feghali et al
Lebanon/S8_767/2020|2020-03-13,Lebanon/S8_767/2020,EPI_ISL_450514,Rafik Hariri University Hospital,Rafik Hariri University Hospital,Rita Feghali et al
Leste/TL14/2020|2020-04-12,Leste/TL14/2020,EPI_ISL_456601,"National Health Laboratory, Timor-Leste","Microbiological Diagnostic Unit Public Health Laboratory, The Peter Doherty Institute for Infection and Immunity",Soares da Silva et al
Leste/TL20/2020|2020-04-13,Leste/TL20/2020,EPI_ISL_456599,"National Health Laboratory, Timor-Leste","Microbiological Diagnostic Unit Public Health Laboratory, The Peter Doherty Institute for Infection and Immunity",Soares da Silva et al
Luxembourg/LNS0945359/2020|2020-03-07,Luxembourg/LNS0945359/2020,EPI_ISL_419569,"Laboratoire National de Santé, Microbiology, Virology","Laboratoire National de Santé, Microbiology, Epidemiology and Microbial Genomics",Anke Wienecke-Baldacchino et al
Luxembourg/LNS1586475/2020|2020-05-08,Luxembourg/LNS1586475/2020,EPI_ISL_445075,"Laboratoire National de Sante, Microbiology, Virology","Laboratoire National de Sante, Microbiology, Epidemiology and Microbial Genomics",Anke Wienecke-Baldacchino et al
Luxembourg/LNS2629386/2020|2020-04-16,Luxembourg/LNS2629386/2020,EPI_ISL_434514,"Laboratoire National de Sante, Microbiology, Virology","Laboratoire National de Sante, Microbiology, Epidemiology and Microbial Genomics",Anke Wienecke-Baldacchino et al
Luxembourg/LNS3660996/2020|2020-05-14,Luxembourg/LNS3660996/2020,EPI_ISL_459896,"Laboratoire National de Sante, Microbiology, Virology","Laboratoire National de Sante, Microbiology, Epidemiology and Microbial Genomics",Anke Wienecke-Baldacchino et al
Luxembourg/LNS5507695/2020|2020-05-15,Luxembourg/LNS5507695/2020,EPI_ISL_459899,"Laboratoire National de Sante, Microbiology, Virology","Laboratoire National de Sante, Microbiology, Epidemiology and Microbial Genomics",Anke Wienecke-Baldacchino et al
Luxembourg/LNS5711030/2020|2020-04-21,Luxembourg/LNS5711030/2020,EPI_ISL_445072,"Laboratoire National de Sante, Microbiology, Virology","Laboratoire National de Sante, Microbiology, Epidemiology and Microbial Genomics",Anke Wienecke-Baldacchino et al
Luxembourg/LNS6469209/2020|2020-05-19,Luxembourg/LNS6469209/2020,EPI_ISL_459901,"Laboratoire National de Sante, Microbiology, Virology","Laboratoire National de Sante, Microbiology, Epidemiology and Microbial Genomics",Anke Wienecke-Baldacchino et al
Luxembourg/LNS6733162/2020|2020-05-19,Luxembourg/LNS6733162/2020,EPI_ISL_459902,"Laboratoire National de Sante, Microbiology, Virology","Laboratoire National de Sante, Microbiology, Epidemiology and Microbial Genomics",Anke Wienecke-Baldacchino et al
Luxembourg/LNS6862754/2020|2020-05-19,Luxembourg/LNS6862754/2020,EPI_ISL_459903,"Laboratoire National de Sante, Microbiology, Virology","Laboratoire National de Sante, Microbiology, Epidemiology and Microbial Genomics",Anke Wienecke-Baldacchino et al
Luxembourg/LNS7342327/2020|2020-05-12,Luxembourg/LNS7342327/2020,EPI_ISL_459905,"Laboratoire National de Sante, Microbiology, Virology","Laboratoire National de Sante, Microbiology, Epidemiology and Microbial Genomics",Anke Wienecke-Baldacchino et al
Luxembourg/LNS7820945/2020|2020-05-18,Luxembourg/LNS7820945/2020,EPI_ISL_459906,"Laboratoire National de Sante, Microbiology, Virology","Laboratoire National de Sante, Microbiology, Epidemiology and Microbial Genomics",Anke Wienecke-Baldacchino et al
Luxembourg/LNS9579356/2020|2020-03-30,Luxembourg/LNS9579356/2020,EPI_ISL_429708,"Laboratoire National de Sante, Microbiology, Virology","Laboratoire National de Sante, Microbiology, Epidemiology and Microbial Genomics",Anke Wienecke-Baldacchino et al
Luxembourg/LNS9862689/2020|2020-03-11,Luxembourg/LNS9862689/2020,EPI_ISL_419606,"Laboratoire National de Santé, Microbiology, Virology","Laboratoire National de Santé, Microbiology, Epidemiology and Microbial Genomics",Anke Wienecke-Baldacchino et al
Luxembourg/Lux1/2020|2020-02-29,Luxembourg/Lux1/2020,EPI_ISL_413593,Laboratoire National de Santé,Erasmus Medical Center,David Nieuwenhuijse et al
Malaysia/189332/2020|2020-03-20,Malaysia/189332/2020,EPI_ISL_417917,"Department of Medical Microbiology, University Malaya Medical Centre",Department of Medical Microbiology,Yoong Min CHONG et al
Malaysia/IMR_WC085/2020|2020-01-28,Malaysia/IMR_WC085/2020,EPI_ISL_430443,"Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia","Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia",Suppiah.J et al
Malaysia/IMR_WC1098/2020|2020-02-29,Malaysia/IMR_WC1098/2020,EPI_ISL_430442,"Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia","Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia",Suppiah.J et al
Malaysia/IMR_WC1170/2020|2020-03-05,Malaysia/IMR_WC1170/2020,EPI_ISL_430440,"Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia","Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia",Suppiah.J et al
Malaysia/IMR_WC1177/2020|2020-03-05,Malaysia/IMR_WC1177/2020,EPI_ISL_430439,"Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia","Institute for Medical Research Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia",Suppiah.J et al
Malaysia/IMR_WC119/2020|2020-01-30,Malaysia/IMR_WC119/2020,EPI_ISL_455790,"Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia",Malaysia Genome Institute,Mohd Noor Mat Isa et al
Malaysia/IMR_WC2665/2020|2020-03-18,Malaysia/IMR_WC2665/2020,EPI_ISL_459955,"Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia","Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia",Suppiah J et al
Malaysia/IMR_WC413/2020|2020-02-08,Malaysia/IMR_WC413/2020,EPI_ISL_455791,"Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia",Malaysia Genome Institute,Mohd Noor Mat Isa et al
Malaysia/IMR_WC458/2020|2020-02-09,Malaysia/IMR_WC458/2020,EPI_ISL_455792,"Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia",Malaysia Genome Institute,Mohd Noor Mat Isa et al
Malaysia/IMR_WC627/2020|2020-02-12,Malaysia/IMR_WC627/2020,EPI_ISL_430444,"Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia","Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia",Suppiah.J et al
Malaysia/MKAK-CL-2020-5045/2020|2020-01-24,Malaysia/MKAK-CL-2020-5045/2020,EPI_ISL_416829,National Public Health Laboratory,Malaysia Genome Institute,Mohd Noor Mat Isa et al
Malaysia/MKAK-CL-2020-5047/2020|2020-01-24,Malaysia/MKAK-CL-2020-5047/2020,EPI_ISL_416866,National Public Health Laboratory,Malaysia Genome Institute,Mohd Noor Mat Isa et al
Malaysia/MKAK-CL-2020-5096/2020|2020-01-30,Malaysia/MKAK-CL-2020-5096/2020,EPI_ISL_416885,National Public Health Laboratory,Malaysia Genome Institute,Mohd Noor Mat Isa et al
Malaysia/MKAK-CL-2020-6430/2020|2020-02-04,Malaysia/MKAK-CL-2020-6430/2020,EPI_ISL_416886,National Public Health Laboratory,Malaysia Genome Institute,Mohd Noor Mat Isa et al
Malaysia/MKAK-CL-2020-7554/2020|2020-02-06,Malaysia/MKAK-CL-2020-7554/2020,EPI_ISL_416907,National Public Health Laboratory,Malaysia Genome Institute,Mohd Noor Mat Isa et al
Mexico/CDMX-InDRE_07/2020|2020-02-28,Mexico/CDMX-InDRE_07/2020,EPI_ISL_452139,Instituto de Diagnostico y Referencia Epidemiologicos (INDRE),Instituto de diagnóstico y Referencia Epidemiologicos (INDRE),Ramirez-Gonzalez Ernesto et al
Mexico/CDMX-InDRE_15/2020|2020-03-11,Mexico/CDMX-InDRE_15/2020,EPI_ISL_455439,Instituto de Diagnostico y Referencia Epidemiologicos (INDRE),Instituto de Diagnostico y Referencia Epidemiologicos (INDRE),Mendieta-Condado Edgar et al
Mexico/CDMX-InDRE_17/2020|2020-03-14,Mexico/CDMX-InDRE_17/2020,EPI_ISL_455455,Instituto de Diagnostico y Referencia Epidemiologicos (INDRE),Instituto de Diagnostico y Referencia Epidemiologicos (INDRE),Rodriguez-Maldonado Abril et al
Mexico/CDMX-INER_05/2020|2020-03-16,Mexico/CDMX-INER_05/2020,EPI_ISL_424627,Instituto Nacional de Enfermedades Respiratorias,Instituto Nacional de Enfermedades Respiratorias,Joel Armando Vázquez Pérez et al
Morocco/15N/2020|2020-05-15,Morocco/15N/2020,EPI_ISL_458150,ANOUAL,ANOUAL,Jouali Farah et al
Morocco/6887/2020|2020-03-03,Morocco/6887/2020,EPI_ISL_459965,Institut Pasteur du Maroc,Institut Pasteur du Maroc,Marion Barbet et al
Morocco/6891/2020|2020-03-20,Morocco/6891/2020,EPI_ISL_459969,Institut Pasteur du Maroc,Institut Pasteur du Maroc,Marion Barbet et al
Morocco/6898/2020|2020-03-16,Morocco/6898/2020,EPI_ISL_459976,Institut Pasteur du Maroc,Institut Pasteur du Maroc,Marion Barbet et al
Morocco/6906/2020|2020-04-06,Morocco/6906/2020,EPI_ISL_459984,Institut Pasteur du Maroc,Institut Pasteur du Maroc,Marion Barbet et al
Morocco/HMIMV-Rabat1025-04/2020|2020-04-13,Morocco/HMIMV-Rabat1025-04/2020,EPI_ISL_471457,Centre de Virologie des Maladies Tropicales,Functional Genomic Platform/Service Analyses Biologique/UATRS/ Centre National Pour la Recherche Scientifique Et Technique (CNRST),Hicham ANNAZ et al
Morocco/RA85/2020|2020-05-21,Morocco/RA85/2020,EPI_ISL_467299,Research and Medical Analysis Laboratory of Gendarmerie Royale,Research and Medical Analysis Laboratory of Gendarmerie Royale,Sanaâ LEMRISS Amal SOUIRI Hicham EL OSSMANI Saâd EL Kabbaj et al
Nanchang/JX14/2020|2020-01-21,Nanchang/JX14/2020,EPI_ISL_421243,Jiangxi Province Center for Disease Control and Prevention,Jiangxi Province Center for Disease Control and Prevention,JianXiong Li et al
Nepal/61/2020|2020-01-13,Nepal/61/2020,EPI_ISL_410301,"National Influenza Centre, National Public Health Laboratory, Kathmandu, Nepal",The University of Hong Kong,Ranjit Sah et al
Netherlands/Berlicum_1363564/2020|2020-02-24,Netherlands/Berlicum_1363564/2020,EPI_ISL_413565,Foundation Pamm,Erasmus Medical Center,David Nieuwenhuijse et al
Netherlands/Flevoland_5/2020|2020-04-01,Netherlands/Flevoland_5/2020,EPI_ISL_460638,Dutch COVID-19 response team,Erasmus Medical Center,Bas Oude Munnink et al
Netherlands/Friesland_36/2020|2020-04-14,Netherlands/Friesland_36/2020,EPI_ISL_460851,Dutch COVID-19 response team,Erasmus Medical Center,Bas Oude Munnink et al
Netherlands/Friesland_41/2020|2020-05-03,Netherlands/Friesland_41/2020,EPI_ISL_460856,Dutch COVID-19 response team,Erasmus Medical Center,Bas Oude Munnink et al
Netherlands/Gelderland_115/2020|2020-05-22,Netherlands/Gelderland_115/2020,EPI_ISL_460876,Dutch COVID-19 response team,Erasmus Medical Center,Bas Oude Munnink et al
Netherlands/Gelderland_143/2020|2020-05-22,Netherlands/Gelderland_143/2020,EPI_ISL_460903,Dutch COVID-19 response team,Erasmus Medical Center,Bas Oude Munnink et al
Netherlands/Gelderland_157/2020|2020-05-22,Netherlands/Gelderland_157/2020,EPI_ISL_460917,Dutch COVID-19 response team,Erasmus Medical Center,Bas Oude Munnink et al
Netherlands/Gelderland_49/2020|2020-05-16,Netherlands/Gelderland_49/2020,EPI_ISL_460949,Dutch COVID-19 response team,Erasmus Medical Center,Bas Oude Munnink et al
Netherlands/Gelderland_83/2020|2020-05-19,Netherlands/Gelderland_83/2020,EPI_ISL_460982,Dutch COVID-19 response team,Erasmus Medical Center,Bas Oude Munnink et al
Netherlands/Gelderland_85/2020|2020-05-19,Netherlands/Gelderland_85/2020,EPI_ISL_460984,Dutch COVID-19 response team,Erasmus Medical Center,Bas Oude Munnink et al
Netherlands/NA_18/2020|2020-03-09,Netherlands/NA_18/2020,EPI_ISL_415474,Dutch COVID-19 response team,Erasmus Medical Center,David Nieuwenhuijse et al
Netherlands/NA_325/2020|2020-04-02,Netherlands/NA_325/2020,EPI_ISL_455130,Dutch COVID-19 response team,Erasmus Medical Center,Bas Oude Munnink et al
Netherlands/NA_562/2020|2020-04-11,Netherlands/NA_562/2020,EPI_ISL_460727,Dutch COVID-19 response team,Erasmus Medical Center,Bas Oude Munnink et al
Netherlands/NoordBrabant_168/2020|2020-05-26,Netherlands/NoordBrabant_168/2020,EPI_ISL_461202,Dutch COVID-19 response team,Erasmus Medical Center,Bas Oude Munnink et al
Netherlands/Utrecht_38/2020|2020-04-12,Netherlands/Utrecht_38/2020,EPI_ISL_461236,Dutch COVID-19 response team,Erasmus Medical Center,Bas Oude Munnink et al
Netherlands/ZuidHolland_138/2020|2020-05-06,Netherlands/ZuidHolland_138/2020,EPI_ISL_461311,Dutch COVID-19 response team,Erasmus Medical Center,Bas Oude Munnink et al
Netherlands/ZuidHolland_198/2020|2020-04-28,Netherlands/ZuidHolland_198/2020,EPI_ISL_461370,Dutch COVID-19 response team,Erasmus Medical Center,Bas Oude Munnink et al
Netherlands/ZuidHolland_203/2020|2020-05-03,Netherlands/ZuidHolland_203/2020,EPI_ISL_461375,Dutch COVID-19 response team,Erasmus Medical Center,Bas Oude Munnink et al
Netherlands/ZuidHolland_209/2020|2020-05-06,Netherlands/ZuidHolland_209/2020,EPI_ISL_461381,Dutch COVID-19 response team,Erasmus Medical Center,Bas Oude Munnink et al
Netherlands/ZuidHolland_212/2020|2020-05-07,Netherlands/ZuidHolland_212/2020,EPI_ISL_461384,Dutch COVID-19 response team,Erasmus Medical Center,Bas Oude Munnink et al
Netherlands/ZuidHolland_214/2020|2020-05-08,Netherlands/ZuidHolland_214/2020,EPI_ISL_461386,Dutch COVID-19 response team,Erasmus Medical Center,Bas Oude Munnink et al
New_Zealand/01/2020|2020-02-27,New_Zealand/01/2020,EPI_ISL_413490,Auckland Hospital,Institute of Environmental Science and Research (ESR),Matt Storey et al
New_Zealand/20VR0712/2020|2020-03-11,New_Zealand/20VR0712/2020,EPI_ISL_456163,PathLab Bay of Plenty,Institute of Environmental Science and Research (ESR),Matt Storey et al
New_Zealand/20VR1192/2020|2020-03-21,New_Zealand/20VR1192/2020,EPI_ISL_456195,PathLab Bay of Plenty,Institute of Environmental Science and Research (ESR),Matt Storey et al
New_Zealand/20VR1816/2020|2020-03-27,New_Zealand/20VR1816/2020,EPI_ISL_456263,Southern Community Labs Dunedin,Institute of Environmental Science and Research (ESR),Matt Storey et al
New_Zealand/20VR2022/2020|2020-04-01,New_Zealand/20VR2022/2020,EPI_ISL_456337,Wellington SCL,Institute of Environmental Science and Research (ESR),Matt Storey et al
New_Zealand/20VR2051/2020|2020-04-05,New_Zealand/20VR2051/2020,EPI_ISL_456348,Canterbury Health Laboratories,Institute of Environmental Science and Research (ESR),Matt Storey et al
New_Zealand/20VR2088/2020|2020-04-12,New_Zealand/20VR2088/2020,EPI_ISL_456371,Canterbury Health Laboratories,Institute of Environmental Science and Research (ESR),Matt Storey et al
New_Zealand/20VR3004/2020|2020-04-25,New_Zealand/20VR3004/2020,EPI_ISL_456396,North Shore Hospital,Institute of Environmental Science and Research (ESR),Matt Storey et al
Nigeria/Lagos01/2020|2020-02-27,Nigeria/Lagos01/2020,EPI_ISL_413550,"Centre for Human and Zoonotic Virology (CHAZVY), College of Medicine University of Lagos/Lagos University Teaching Hospital (LUTH), part of the Laboratory Network of the Nigeria Centre for Disease Control (NCDC)","African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria",Oluniyi P.E. et al
Nigeria/OS125-CV20/2020|2020-03-29,Nigeria/OS125-CV20/2020,EPI_ISL_455427,Nigeria Centre for Disease Control (NCDC),"African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria",Oluniyi P.E. et al
Norway/1494/2020|2020-02-29,Norway/1494/2020,EPI_ISL_417489,"Oslo University Hospital, Department of Medical Microbiology","Norwegian Institute of Public Health, Department of Virology",Kathrine Stene-Johansen et al
Norway/2356-2/2020|2020-04-08,Norway/2356-2/2020,EPI_ISL_449786,"Ostfold Hospital Trust - Kalnes, Centre for Laboratory Medicine, Section for gene technology and infection serology","Norwegian Institute of Public Health, Department of Virology",Kathrine Stene-Johansen et al
Norway/2454/2020|2020-04-17,Norway/2454/2020,EPI_ISL_471172,Unilabs Laboratory Medicine,"Norwegian Institute of Public Health, Department of Virology",Kathrine Stene-Johansen et al
Norway/2526/2020|2020-04-27,Norway/2526/2020,EPI_ISL_471175,"Oslo University Hospital, Department of Medical Microbiology","Norwegian Institute of Public Health, Department of Virology",Kathrine Stene-Johansen et al
Norway/2534/2020|2020-05-04,Norway/2534/2020,EPI_ISL_471176,"Hospital of Southern Norway - Kristiansand, Department of Medical Microbiology","Norwegian Institute of Public Health, Department of Virology",Kathrine Stene-Johansen et al
Norway/2549/2020|2020-05-04,Norway/2549/2020,EPI_ISL_471177,"Oslo University Hospital, Department of Medical Microbiology","Norwegian Institute of Public Health, Department of Virology",Kathrine Stene-Johansen et al
Oman/205033010/2020|2020-05-01,Oman/205033010/2020,EPI_ISL_458118,Oman National Influenza Centre,Department of Microbiology and Immunology-SQUH,Fahad Zadjali et al
Oman/205033391/2020|2020-05-03,Oman/205033391/2020,EPI_ISL_458124,Oman National Influenza Centre,Department of Microbiology and Immunology-SQUH,Fahad Zadjali et al
Oman/RESP-20-2282/2020|2020-03-14,Oman/RESP-20-2282/2020,EPI_ISL_457974,Oman-NIC,Oman-NIC,Samira Al-Maruqi et al
Oman/RESP-20-6081/2020|2020-03-26,Oman/RESP-20-6081/2020,EPI_ISL_457995,Oman-NIC,Oman-NIC,Samira Al-Maruqi et al
Oman/RESP-20-6417/2020|2020-03-29,Oman/RESP-20-6417/2020,EPI_ISL_457996,Oman-NIC,Oman-NIC,Samira Al-Maruqi et al
Oman/RESP-20-837/2020|2020-02-24,Oman/RESP-20-837/2020,EPI_ISL_457704,Oman-NIC,Oman-NIC,Samira Al-Maruqi et al
Pakistan/Gilgit1/2020|2020-03-04,Pakistan/Gilgit1/2020,EPI_ISL_417444,"Department of Healthcare Biotechnology, National University of Sciences and Technology (NUST)","Department of Healthcare Biotechnology, National University of Sciences and Technology (NUST)",Javed et al
Pakistan/Manga-KPK/2020|2020-03-12,Pakistan/Manga-KPK/2020,EPI_ISL_419313,Molecular Biology and Biotechnology Lab II,Molecular Biology and Biotechnology Lab II,Tayyaba Zainab et al
Pakistan/NIH-44905/2020|2020-06-02,Pakistan/NIH-44905/2020,EPI_ISL_468159,unknown,"Department of Virology, Public Health Laboratories Division, National Institute of Health",Massab Umair et al
Pakistan/NIH-45090/2020|2020-06-02,Pakistan/NIH-45090/2020,EPI_ISL_468161,"Department of Virology, Public Health Laboratories Division, National Institute of Health","Department of Virology, Public Health Laboratories Division, National Institute of Health",Massab Umair et al
Pakistan/NIH-45143/2020|2020-06-02,Pakistan/NIH-45143/2020,EPI_ISL_468160,unknown,"Department of Virology, Public Health Laboratories Division, National Institute of Health",Massab Umair et al
Pakistan/NIH-45579/2020|2020-06-02,Pakistan/NIH-45579/2020,EPI_ISL_468162,unknown,"Department of Virology, Public Health Laboratories Division, National Institute of Health",Massab Umair et al
Pakistan/NIH-HAS001/2020|2020-06-02,Pakistan/NIH-HAS001/2020,EPI_ISL_468163,"Department of Virology, Public Health Laboratories Division, National Institute of Health","Department of Virology, Public Health Laboratories Division, National Institute of Health",Massab Umair et al
Panama/328677/2020|2020-03-06,Panama/328677/2020,EPI_ISL_415152,Gorgas Memorial Institute for Health Studies,Gorgas Memorial Institute for Health Studies,Danilo Franco et al
Peru/010/2020|2020-03-10,Peru/010/2020,EPI_ISL_415787,Laboratorio de Referencia Nacional de Virus Respiratorio. Instituto Nacional de Salud. Peru,Laboratorio de Referencia Nacional de Biotecnologia y Biologia Molecular.Instituto Nacional de Salud.Peru,Carlos Padilla Rojas et al
Philippines/RITM-03/2020|2020-03-21,Philippines/RITM-03/2020,EPI_ISL_430456,Rizal Medical Center,Research Institute for Tropical Medicine,Medado et al
Pingxiang/JX5/2020|2020-01-11,Pingxiang/JX5/2020,EPI_ISL_421252,Jiangxi Province Center for Disease Control and Prevention,Jiangxi Province Center for Disease Control and Prevention,JianXiong Li et al
Poland/IHG_PAS_1_69/2020|2020-04-11,Poland/IHG_PAS_1_69/2020,EPI_ISL_450294,"Institute of Human Genetics, Polish Academy of Sciences Sanitary and Epidemiological Station in Poznań","Institute of Human Genetics, Polish Academy of Sciences",Szymon Hryhorowicz et al
Poland/IHG_PAS_3_57/2020|2020-05-13,Poland/IHG_PAS_3_57/2020,EPI_ISL_462480,"Institute of Human Genetics, Polish Academy of Sciences","Institute of Human Genetics, Polish Academy of Sciences",Szymon Hryhorowicz et al
